SERIES_CODE,OBS_MEASURE,CONTINENT,COUNTRY,INDICATOR,COUNTERPART_COUNTRY,FREQUENCY,SCALE,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4
ESP.TBG_USD.CAN.Q,OBS_VALUE,Europe,Spain,"Trade balance goods, US dollar",Canada,Quarterly,Millions,61.072277,173.740869,14.055268,-31.311156,25.396137,-197.603917,-57.879738,-183.549902,0.540852,-264.742947,-163.449233,-82.383902,54.305075,36.422951,-32.210822,59.335442
HKG.TBG_USD.CAN.Q,OBS_VALUE,Asia,"Hong Kong, China","Trade balance goods, US dollar",Canada,Quarterly,Millions,-329.285558,-485.308304,145.931547,36.455566,144.489901,148.37463,-1027.829455,-575.855529,-152.282917,-601.830394,-874.794827,-529.165318,-1026.402842,-96.946945,205.808109,-88.021094
MYS.TBG_USD.CAN.Q,OBS_VALUE,Asia,Malaysia,"Trade balance goods, US dollar",Canada,Quarterly,Millions,143.150134,163.292581,233.032944,123.31608,10.793661,25.849697,-82.072764,-83.215211,-7.20815,-40.78603,-4.091238,31.768665,-7.914547,111.668942,147.675578,118.740039
AUS.TBG_USD.CAN.Q,OBS_VALUE,Oceania,Australia,"Trade balance goods, US dollar",Canada,Quarterly,Millions,4.118343,-94.083986,-138.579887,-178.221117,-126.073888,-145.875294,-464.576008,-169.460682,-269.757459,-168.345923,-126.445581,-291.44526,-202.217748,-286.612623,-140.882551,32.257031
GBR.TBG_USD.CAN.Q,OBS_VALUE,Europe,United Kingdom,"Trade balance goods, US dollar",Canada,Quarterly,Millions,-2457.448034,1054.463373,161.236772,272.111885,-1978.28233,227.115149,21.778564,410.373455,527.374807,1111.781926,329.729082,296.957813,548.250737,-897.915686,932.620592,182.446793
USA.TBG_USD.CAN.Q,OBS_VALUE,North America,United States,"Trade balance goods, US dollar",Canada,Quarterly,Millions,-7499.177029,-10897.56363,-14120.8785,-15157.82983,-20180.20938,-25313.86886,-20865.96262,-13748.92058,-18065.90017,-14646.75918,-15180.47841,-19968.28833,-15363.08102,-13805.56483,-16675.72046,-17453.45895
RUS.TBG_USD.CAN.Q,OBS_VALUE,Europe,Russian Federation,"Trade balance goods, US dollar",Canada,Quarterly,Millions,-79.172108,-111.928302,-63.825764,56.74228,-71.35102616,52.54690391,2.48072562,-25.25354885,-19.99077938,-8.023049255,-4.064521816,-9.910816529,-12.54642609,-23.26745558,-0.34520536,-4.463501724
VNM.TBG_USD.CAN.Q,OBS_VALUE,Asia,Vietnam,"Trade balance goods, US dollar",Canada,Quarterly,Millions,953.473502,1124.886528,1174.72223,1279.258282,1267.653112,1661.310689,1442.471524,1237.359311,1046.989361,1380.555383,1287.856821,1263.26418,1343.591786,1336.149917,1284.56572,957.870774
ITA.TBG_USD.CAN.Q,OBS_VALUE,Europe,Italy,"Trade balance goods, US dollar",Canada,Quarterly,Millions,609.513854,1066.732548,991.446029,992.80195,980.306069,1422.545588,1342.811742,984.704791,1025.488922,1239.920359,1294.587631,1262.123797,775.020913,988.829741,1072.952025,540.904634
THA.TBG_USD.CAN.Q,OBS_VALUE,Asia,Thailand,"Trade balance goods, US dollar",Canada,Quarterly,Millions,265.730229,192.578652,217.957789,272.164484,274.190121,219.380636,221.845421,218.00969,219.484337,143.023444,223.097207,254.961433,249.459361,213.866905,261.239323,299.709953
