"COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","SERIES_NAME"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","61072277","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","173740869","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","14055268","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-31311156","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","25396137","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-197603917","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-57879738","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-183549902","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","540852","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-264742947","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-163449233","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-82383902","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","54305075","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","36422951","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","-32210822","Millions","Trade balance goods, US dollar"
"Spain","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","59335442","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-329285558","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-485308304","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","145931547","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","36455566","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","144489901","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","148374630","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-1027829455","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-575855529","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-152282917","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-601830394","Millions","Trade balance goods, US dollar"
"Hong Kong Special Administrative Region, People's Republic of China","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-874794827","Millions","Trade balance goods, US dollar"
